Sample,Rb1,RG1,RE,RC,Rb2,Ro,Rd,Rf,RG2,Rb3,Rg3,F2,Rh1,Total
PG001,0.29777264,0.25165008,0.18011488,0.07478944,0.04837712,0.074712,0.03187536,0.04292288,0.01962928,0.01009184,0.00135344,0.000044,0.00042592,1.03375888
PG002,0.46045824,0.30939392,0.2507736,0.13482128,0.12078176,0.0818312,0.045188,0.0606936,0.03261456,0.02014848,0.00251152,0.00120384,0.00153824,1.52195824
PG003,0.279884,0.20472144,0.20895424,0.07739424,0.05043808,0.07198752,0.03623488,0.041844,0.02693328,0.01083456,0.0013112,0.00053152,0.00059664,1.0116656
PG004,0.44313808,0.27741824,0.25063456,0.15279792,0.1414864,0.07140848,0.05452656,0.053636,0.03095312,0.02247344,0.00195008,0.00057376,0.00079904,1.50179568
PG005,0.26181408,0.2618176,0.08660784,0.10797424,0.08041088,0.07900464,0.05040816,0.03483392,0.00109472,0.01440736,0.00192192,0.00020944,0.0001584,0.9806632
PG006,0.38151344,0.22686048,0.18356272,0.12448128,0.11687104,0.06790784,0.0446864,0.04313936,0.02563088,0.01907136,0.00273328,0.00060368,0.00124432,1.23830608
PG007,0.46778864,0.30800352,0.25761296,0.15033568,0.14741232,0.08630336,0.06463072,0.05959888,0.02633488,0.02200352,0.00269632,0.00143088,0.00086944,1.59502112
PG008,0.3209448,0.22273152,0.20662224,0.10293712,0.11538912,0.0559944,0.03979712,0.03297536,0.02344144,0.01596848,0.00108768,0.0001672,0.00007392,1.1381304
PG009,0.45099472,0.37661888,0.15572832,0.1346488,0.13441296,0.0947408,0.06331776,0.05353744,0.01545632,0.01976304,0.00162624,0.0002024,0.00144144,1.50248912
PG010,0.35050224,0.25012944,0.23924384,0.12491072,0.08968608,0.08032288,0.05772624,0.05458288,0.03172928,0.01728496,0.0029832,0.0010384,0.00097504,1.3011152
PG011,0.45641728,0.38544704,0.37200768,0.1439416,0.08672048,0.11283536,0.0789888,0.08537408,0.0470272,0.01830048,0.00326832,0.00122672,0.00253968,1.79409472
PG018,0.49321536,0.28528192,0.34965216,0.14653936,0.11211904,0.03816032,0.07326352,0.04990656,0.03513312,0.0212784,0.00594704,0.00652608,0.00167024,1.61869312
PG019,0.3222296,0.28243776,0.20344016,0.14654288,0.10373088,0.0442024,0.08388336,0.0614416,0.03182256,0.01859088,0.00508288,0.00630432,0.00354112,1.3132504
PG021,0.42281008,0.25961232,0.2086656,0.16577088,0.1842544,0.0475112,0.05753264,0.05827888,0.02753872,0.02712864,0.0035288,0.00342144,0.00219296,1.46824656
PG023,0.56506032,0.30097408,0.2576464,0.22979264,0.26098864,0.0350592,0.0968088,0.06164576,0.02575232,0.03705504,0.00594704,0.0085008,0.00307824,1.88830928
PG024,0.32021088,0.19564512,0.24747008,0.121528,0.08217088,0.03022976,0.06059328,0.03402784,0.02517856,0.01572384,0.00376992,0.0038984,0.00061424,1.1410608
PG025,0.5614136,0.2742432,0.41895216,0.22792,0.21240736,0.0645216,0.10039216,0.0422928,0.04195136,0.0378488,0.00561968,0.00801856,0.00035904,1.99594032
PG026,0.490116,0.35878304,0.1638384,0.1937936,0.2081464,0.08294176,0.05904976,0.0746328,0.00804496,0.02899072,0.00158048,0.00043296,0.00167728,1.67202816
PG028,0.36232768,0.12981232,0.21352496,0.14401024,0.13172192,0.03502224,0.06242368,0.03454352,0.03090736,0.02051632,0.0047608,0.00604736,0.00065648,1.17627488
PG030,0.36977424,0.18299424,0.20855648,0.155012,0.14357728,0.0402336,0.06089424,0.0408144,0.02724304,0.02149136,0.0035992,0.00271392,0.0012936,1.2581976
PG032,0.33856944,0.18899056,0.31802496,0.10147632,0.070488,0.0751872,0.03762528,0.04958448,0.04729824,0.01414512,0.0013288,0.00019888,0.00086416,1.24378144
PG033,0.42411072,0.22190256,0.24520672,0.1352736,0.1241768,0.08735232,0.03053248,0.04583568,0.0221144,0.0221232,0.0013904,0.00097152,0.00005984,1.36105024
PG034,0.32448768,0.1231824,0.19553776,0.13619584,0.12597904,0.0471856,0.07059536,0.0331496,0.02600928,0.02040544,0.00419056,0.00601392,0.00046464,1.11339712
PG035,0.3461216,0.19282912,0.1952192,0.187044,0.2101352,0.0295592,0.0973104,0.02956448,0.02069408,0.02883936,0.00575344,0.01138016,0.0011264,1.35557664
PG038,0.36308976,0.16337376,0.170896,0.14187888,0.1543432,0.04909344,0.06143984,0.0426712,0.02647216,0.023584,0.00321728,0.00213664,0.00125664,1.2034528
PG041,0.42355104,0.26585152,0.21960224,0.16188128,0.18565536,0.04240544,0.06854848,0.05580256,0.03073136,0.02586848,0.00689216,0.00907808,0.00249392,1.49836192
PG042,0.4007784,0.22855008,0.19222016,0.13384448,0.12481216,0.08448176,0.0518232,0.044088,0.02359632,0.02020832,0.00177408,0.00007216,0.00076912,1.30701824
