,Part,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71
1,root,14.5703,0,0,67.3776,0,188.346,0,28.6415,13.0529,807.8032,940.4573,22.0538,0,0,0,11.8532,0,0,0,0,0,232.1273,76.4614,208.9168,0,0.7969,131.1555,175.2893,0,875.9736,11.803,337.625,0,393.4723,287.4629,0,0,311.1051,73.9102,24.0284,0,15.9857,21.5714,0,1.0238,300.8255,99.66,0,0,0,5.2194,41.1128,29.7654,238.4401,0,0,40.0195,0,29.7921,0,0,58.8984,35.7312,148.141,15.3444,0,0,9.5811,0,0,0
2,root,28.8918,0,0,58.5461,0,0.7721,0,47.7431,22.9261,990.5485,748.7583,41.362,0,0,0,6.2779,0,0,0,0,0,345.2148,68.642,33.7978,0,0,147.9024,231.8626,0,699.077,22.136,278.9083,0,443.9382,358.4603,0,0,330.2242,74.6053,28.8308,0,7.6365,13.7003,1.0592,0.9355,384.4579,148.9811,13.0389,0,0,4.8781,18.0212,26.3266,111.4998,0,0,27.6841,0,26.3605,0,0,0,33.8152,159.6643,16.3337,0,0,17.4562,0,0,0
3,root,23.5093,0,0,64.7867,0,0,0,37.8806,17.3981,1072.5871,828.0079,63.2652,0,0,0,7.9199,0,0,0,0,0,369.6554,9.4043,36.4149,0,2.3962,136.9691,22.6034,0,1101.5134,0.9738,474.6537,0,616.4122,37.7295,0,0,665.8157,132.6877,65.2424,41.0373,0,22.3686,0,17.8309,347.0028,149.1252,13.5469,0,0,13.9392,0,0.0478,98.5072,0,0,0,0,20.3669,16.8194,0,0,21.811,114.1824,12.4208,0,0,7.7253,0,0,0
4,root,27.884,0,0,65.6402,0,0,0,43.9055,19.9645,1001.7304,812.6298,28.5692,0,0,0,14.1175,0,0,0,0,0,329.8812,0,30.7678,0,0,106.6483,0,0,1180.0294,0,345.3061,0,675.5797,0,0,0,736.7713,140.2792,50.243,31.5527,0,20.4739,14.7835,14.7835,437.8743,130.2798,5.1152,0,0,10.4493,0,0.0118,199.0443,0,0,0.0259,0,41.4237,21.8594,3.0366,90.9746,46.1514,205.2301,18.7271,0,0,12.0073,0,0,0
5,root,27.1176,0,0,73.1895,0,167.5644,0,21.4396,16.955,794.3813,954.7108,13.3822,0,0,0,7.7379,0,0,0,0,0,236.7797,78.9734,180.6749,0,0,132.7444,203.1256,0,825.6276,14.8796,252.7797,0,468.7967,349.0354,0,0,331.1579,72.0676,19.7332,17.6401,9.8139,12.8778,0.9264,0.657,341.4922,93.0941,0,0,0,3.4951,23.4039,25.37,150.8728,0,0,27.8159,0,25.4258,0,0,50.0982,28.5841,181.608,13.2885,0,0,14.2932,0,0,0
6,root,21.1748,0,0,52.9448,0,0.152,0,26.5076,11.6727,636.3888,930.0106,25.3663,0,0,0,11.0901,0,0,0,0,0,264.1065,37.7871,24.1022,0,0,171.8238,84.556,0,1043.6937,5.2039,394.5077,0,615.7902,192.3837,0,0,569.9786,0,50.7042,0,0,16.2929,27.9361,27.8915,403.8427,137.4917,0,0,0,5.5533,9.3569,15.0951,164.3092,0,0,17.1031,0,33.844,0,0,38.423,42.9579,202.371,13.4189,0,0,14.7575,0,0,0
7,root,20.0786,0,0,52.895,0,0,0,25.1911,12.0323,641.5164,928.0274,21.6049,0,0,0,10.6638,0,0,0,0,0,264.3241,38.7114,23.0432,0,0,167.9835,85.5366,0,1050.1725,5.6087,339.4364,0,614.7153,189.9079,0,0,565.7878,116.8393,40.8716,0,0,18.1501,19.4019,20.6533,402.9755,121.3412,0,0,0,8.9326,8.7234,14.6124,164.3732,0,0,18.0287,0,33.8993,0,0,67.2543,41.5885,201.6979,13.9075,0,0,13.9332,0,0,0
8,root,24.6146,0,0,57.6476,0,0,0,36.6175,16.978,803.4971,837.981,55.5819,0,0,0,8.2095,0,0,0,0,0,275.9415,32.3469,25.3765,0,0,138.9432,76.5122,0,979.1198,5.3202,448.8901,0,602.7615,167.5623,0,0,521.4436,101.5673,62.1748,41.3229,0,19.1131,0,18.0497,375.1912,162.5194,0,0,0,9.4383,3.0487,7.9767,117.6666,0,0,8.3845,0,21.9634,0,0,43.9764,20.9463,197.3668,13.7442,0,0,14.266,0,0,0
9,root,25.756,0,0,72.1032,0,0,0,39.2076,19.7937,628.0746,904.5122,27.4955,0,0,0,5.9771,0,0,0,0,0,256.1552,29.8757,22.144,0,0,152.1379,70.8348,0,952.1507,3.9927,371.7568,0,578.095,157.363,0,0,544.9111,0,49.775,0,0,32.9675,2.1743,1.5529,454.6647,175.3576,10.7493,0,0,17.1757,7.7467,16.5027,183.9365,0,0,20.011,0,39.7381,16.6656,0,42.1891,41.9158,249.8563,17.3248,0,0,23.3309,0,0,0
10,root,40.9574,0,0,74.6148,0,180.9776,0,61.0225,27.0864,815.9031,801.9272,13.3972,0,0,0,5.2645,0,0,0,0,0,220.4493,5.3945,202.0735,0,0,110.9303,16.0291,0,918.0738,0,215.7301,0,668.6033,32.4661,0,0,721.833,135.8401,41.2856,0,0,11.8744,0,13.1207,505.782,108.8344,0,0,0,8.4647,1.3347,0.7627,329.0703,0,0,1.8134,0,92.0908,15.7003,0,147.7763,69.5622,223.1748,24.0298,0,0,25.0098,0,0,0
11,root,27.2916,0,0,50.7556,0,0,0,41.8625,19.9269,784.5967,777.1746,45.7148,0,0,0,9.6365,0,0,0,0,0,309.5333,12.2991,27.6927,0,0,151.5977,22.9273,0,1072.349,0,466.1083,0,606.3129,55.471,0,0,662.914,123.0209,67.8882,46.9243,0,19.6639,0,20.1718,423.5384,188.905,16.3295,0,0,10.3854,1.2251,1.1696,106.4963,0,0,2.2107,0,19.3379,0,0,0,18.2719,218.1183,13.3955,0,0,13.8652,0,0,0
12,root,32.8675,0,0,62.5424,0,0,0,53.6289,28.7836,1023.5243,881.053,29.2452,0,0,0,8.6323,0,0,0,0,0,343.2995,0.0098,31.2777,0,0,152.4826,0,0,1047.8626,0,363.4197,0,583.6566,0,0,0,649.0317,122.537,50.2721,32.1055,0,14.8998,14.7584,15.0535,385.3799,126.5532,8.2852,0,0,7.7422,0,0,318.1203,0,0,0,0,63.3432,0,0,104.049,54.8174,212.0666,25.2181,0,0,22.2478,0,0,0
13,root,0,0,0,65.617,0,0.2767,0,0.1524,0.0191,833.8261,778.6705,150.2142,0,0,0,0.5751,0,0,0,0,0,281.88,32.0733,26.9777,0,0,130.0596,69.9641,0,690.3463,15.7537,877.0949,0,299.7896,107.6154,0,0,289.703,75.9706,110.3758,94.124,0,16.725,58.3132,58.3132,163.2767,269.1561,41.076,0,0,7.4564,0,0.0776,3.5309,0,0,0.0921,0,0,9.1501,0.8738,0,1.6652,27.4058,3.6522,0,0,1.1272,0,0,0
14,root,35.0635,0,0,51.1636,0,0,0,46.3936,10.7854,944.861,891.3341,33.5063,0,0,0,15.3401,0,0,0,0,0,288.1943,0,27.0733,0,0,140.2773,0.0098,0,1119.7516,0,365.898,0,586.1786,0,0,0,693.6909,132.5032,50.1348,31.5986,0,20.4309,14.3902,15.0656,401.7756,129.6158,9.3554,0,0,11.3873,0,0.0077,262.0196,0,0,0,0,49.8382,0,0,39.3203,51.3233,214.3515,16.5359,0,0,17.8503,0,0,0
15,root,37.1952,0,0,77.0382,0,0.0431,0,62.1646,29.578,1180.7836,623.1179,35.4026,0,0,0,12.0566,0,0,0,0,0,368.3939,9.5461,35.6291,0,0,73.364,24.0944,0,1155.9374,0,381.0136,0,527.3785,47.1918,0,0,591.9164,0,37.9723,0,0,24.3527,0.5851,0.2089,457.3073,131.1278,0,0,0,10.6772,5.2031,4.7357,219.6394,0,0,7.0513,0,37.6599,18.3784,0,77.3009,62.455,272.2483,27.728,0,0,20.9311,0,0,0
16,root,0,0,0,57.8667,0,1.0232,0,0,0,720.4328,828.146,111.1685,0,0,0,0.4472,0,0,0,0,0,269.2579,50.4614,26.7893,0,2.543,122.5025,121.1858,0,771.7473,20.4806,753.6305,0,410.5686,195.8229,0,0,368.2113,96.9128,94.1946,84.0475,0,14.9427,29.434,29.434,182.2556,215.4772,21.2665,0,0,5.4633,0.7516,1.505,8.8844,0,0,1.8129,0,2.3671,11.1534,0,0.9702,5.1952,18.1277,4.2297,0,0,1.4054,0,0,0
17,root,41.7323,0,0,68.1109,0,1.6737,0,61.4841,28.2841,1147.3121,792.4616,12.1469,0,0,0,11.4142,0,0,0,0,0,321.581,82.2139,30.508,0,0,129.8616,189.607,0,927.1844,11.7391,300.9429,0,399.0514,320.1314,0,0,306.3519,0,19.18,0,10.4707,16.5764,0.4124,0.5238,332.3268,97.4971,11.8679,0,0,3.8742,26.0125,22.4462,230.3528,0,0,31.833,0,29.5121,0,0,57.4854,49.8415,188.2271,11.287,0,0,11.1249,0,0,0
18,root,38.1162,0,0,46.5997,0,0,0,46.3052,21.84,960.1718,913.5723,26.8028,0,0,0,19.0782,0,0,0,0,0,298.4148,0,28.1777,0,0,146.3821,0.0447,0,1209.4564,0,345.6374,0,639.1682,0,0,0,731.4222,146.4093,49.3093,0,0,9.5044,2.8113,15.9232,458.5207,130.5492,10.6627,0,0,5.1559,0,0,161.4517,0,0,0,0,31.6249,0,0,46.8212,49.0458,224.3312,17.769,0,0,14.4494,0,0,0
19,root,0,0,0,55.5099,0,1.4157,0,0,0.0499,808.1806,993.784,93.1549,0,0,0,0.5638,0,0,0,0,0,317.3404,0,30.65,0,1.0741,171.766,0,0,813.9415,0,778.9998,0,455.8027,0,0,0,504.5065,111.6942,141.083,96.2595,0,19.0913,70.5411,67.7435,185.4443,209.8466,21.6895,0,0,13.7534,0,0.0179,15.7351,0,0,0,0,4.6074,12.5488,0,5.3825,8.9122,35.798,8.1085,0,0,2.9862,0,0,0
20,root,46.3931,0,0,98.2995,0,0.2475,0,65.5108,31.7586,1247.033,441.5398,59.121,0,0,0,11.6989,0,0,0,0,0,391.9688,0.0072,37.1104,0,0,19.1563,0,0,1106.5505,0.0066,415.3734,0,648.0954,0,0,0,748.1684,140.8945,64.9389,0,0,14.3387,0.5537,18.6263,405.3789,146.6812,10.2739,0,0,7.8793,0,0.0149,148.8033,0,0,0,0,35.1446,0,0,73.3998,42.0984,219.5099,11.9171,0,0,13.347,0,0,0
21,root,34.0255,0,0,68.4098,0,0,0,50.2889,24.8974,997.1872,838.7624,36.2627,0,0,0,8.9387,0,0,0,0,0,347.8141,0.0072,31.1931,0,0,143.0113,0.0517,0,1087.8389,0,361.7457,0,658.0235,0,0,0,733.9239,135.5805,57.2255,0,0,15.8389,0,16.2193,506.0766,155.4542,6.7929,0,0,10.6899,0,0,80.8403,0,0,0,0,18.5742,16.202,0,13.1849,27.2295,196.1762,17.7283,0,0,14.7835,0,0,0
22,root,36.9079,0,0,55.2935,0,0,0,54.185,27.7262,1018.3603,934.8002,23.9983,0,0,0,11.7174,0,0,0,0,0,380.9912,0,34.2484,0,0,169.1424,0.0157,0,1163.9446,0.0067,359.9085,0,570.165,0,0,0,657.5561,127.0475,44.1048,27.9458,0,20.0347,0.8466,12.1794,348.0017,99.671,5.7178,0,0,9.5604,0,0.0413,279.9553,0,0,0.0236,0,44.0725,0,0,49.6292,43.4381,186.3532,15.6729,0,0,14.6544,0,0,0
23,root,0,0,0,64.0696,0,80.5958,0,0.2496,0,764.0165,802.6428,111.6376,0,0,0,0.8493,0,0,0,0,0,284.9586,75.132,120.2163,0,0.3266,138.7184,167.1159,0,567.8302,33.4144,629.4648,322.4515,293.8461,219.914,0,0,200.885,13.5943,63.8972,33.4677,0,18.7417,26.0977,0,160.283,211.6803,23.109,0,0,4.5657,1.5349,2.9985,16.9488,0,0,3.1194,0,2.302,10.2976,0,1.5682,8.6349,30.773,4.9408,0,0,3.0931,0,0,0
24,root,0,0,0,69.2487,0,77.9795,0,0,0,783.7756,961.8294,38.7425,0,0,0,0.8061,0,0,0,0,0,268.4135,10.3421,103.976,0,0.6928,148.2523,25.9648,0,647.717,0,825.5011,275.6298,320.4015,27.8984,0,0,322.0949,0,157.2972,0,0,21.0491,56.2821,1.4706,172.3456,261.5373,22.7322,0,0,8.8007,0,0.1596,6.5293,0,0,0,0,0,9.0715,0,0.5465,3.4446,18.6337,4.6311,0,0,1.6462,0,0,0
